,79.78,9052,-192,11372
248253,5.18,8104,-200,11772
248265,5.59,8156,-120,11844
248277,5.18,8088,-132,12008
248289,5.18,8008,-168,11848
248301,5.59,8072,-240,11764
248313,5.18,8068,-188,11756
248325,5.59,8048,-176,11876
248337,5.18,7916,-292,11968
248349,5.18,8100,-328,11868
248361,5.59,8180,-264,11916
248373,5.18,8036,-280,11788
248385,5.18,8040,-280,11840
248397,5.59,8028,-364,11868
248409,5.59,8052,-308,11976
248421,5.59,8144,-196,11884
248433,5.18,8032,-284,11860
248445,5.59,8076,-212,11908
248457,5.59,8252,-332,12024
248469,5.59,8144,-160,11904
248481,5.59,7968,-268,11976
248493,5.59,8084,-248,11820
248505,5.59,8188,-220,11820
248517,5.59,8020,-292,11780
248529,5.18,7944,-260,11860
248541,5.59,8172,-244,12000
248553,5.59,8092,-144,11868
248565,5.18,8048,-256,11852
248577,5.59,8188,-200,11832
248589,5.59,8288,-260,11948
248601,5.59,7976,-264,12008
248613,5.18,7948,-200,11968
248625,5.59,8212,-268,11868
248637,5.59,8192,-160,11940
248649,5.59,8040,-248,11888
248661,5.59,8108,-296,11852
248673,5.18,8276,-160,11960
248685,5.18,7996,-224,11884
248697,5.59,8064,-324,11864
248709,5.59,8168,-224,11944
248721,5.59,8144,-248,11844
248733,5.59,7988,-216,11928
248745,5.59,8096,-244,11936
248757,5.59,8164,-248,11792
248769,5.59,8012,-252,11852
248781,5.59,8096,-228,11892
248793,5.18,8136,-188,11948
248805,5.59,8076,-184,11968
248817,5.18,7956,-276,11892
248829,5.59,8088,-248,11816
248841,5.59,8084,-208,11860
248853,5.59,7988,-212,11732
248865,5.59,8024,-188,11948
248877,5.59,8112,-228,11900
248889,5.59,8048,-252,11904
248901,5.59,8088,-284,11700
248913,5.59,8084,-216,11872
248925,5.59,8144,-180,11844
248937,5.59,8020,-216,11828
248949,5.18,7948,-204,11980
248961,5.59,8140,-264,12004
248973,5.59,8188,-240,11804
248985,5.59,8064,-244,11912
248997,5.59,8148,-232,12120
249009,5.59,8128,-184,12020
249021,5.18,8100,-192,11964
249033,5.59,8140,-184,11904
249045,5.59,8040,-196,11736
249057,5.59,8180,-200,11916
249069,5.18,8024,-260,11964
249081,5.59,7996,-236,12100
249093,5.18,8224,-300,11908
249105,5.18,7984,-228,11804
249117,5.18,8112,-304,11844
249129,5.59,8196,-336,11876
249141,5.59,8724,-220,11852
249153,5.18,7904,-248,11820
249165,5.61,8184,-212,11780
249177,5.18,8184,-208,12072
249189,5.59,7892,-228,11932
249201,5.59,8040,-316,11984
249213,5.18,8004,-176,11780
249225,5.18,8088,-340,12084
249237,5.18,8080,-324,11864
249249,5.59,7992,-228,11916
249261,5.59,8288,-264,11948
249273,5.59,8072,-252,11880
249285,5.59,7928,-240,11812
249297,5.59,8140,-176,11996
249309,5.18,8144,-180,11764
249321,5.18,8060,-276,11940
249333,5.59,7940,-288,11912
249345,5.18,8052,-252,12008
249357,5.18,8108,-232,12120
249369,5.18,7948,-284,11632
249381,5.18,8212,-212,12012
249393,5.59,8080,-296,11868
249405,5.59,7864,-276,11988
249417,5.59,8044,-292,11924
249429,5.59,8184,-228,11860
249441,5.18,8152,-260,11868
249453,5.59,7936,-176,11908
249465,5.59,8100,-268,11940
249477,5.59,8084,-208,12016
249489,5.59,8024,-244,11948
249501,5.59,8096,-196,11828
249513,5.59,8096,-164,11836
249525,5.59,8144,-252,12016
249537,5.59,8020,-212,11864
249549,5.59,8108,-280,11844
249561,5.59,8068,-152,11992
249573,5.59,7956,-256,11744
249585,5.59,8172,-248,11884
249597,5.18,8228,-232,11956
249609,5.59,8060,-248,12232
249621,5.18,7996,-280,11884
249633,5.59,8176,-248,11896
249645,5.59,8052,-180,11904
249657,5.59,7980,-284,11880
249669,5.59,8088,-220,11884
249681,5.61,8116,-192,11928
249693,5.59,8028,-224,12084
249705,5.59,8036,-308,11752
249717,5.59,8156,-308,11768
249729,5.59,8140,-252,11964
249741,5.59,8020,-172,11924
249753,5.59,8072,-208,11968
249765,5.59,8196,-216,11956
249777,5.59,8180,-168,11852
249789,5.59,7932,-300,11876
249801,5.59,8184,-204,11956
249813,5.59,8196,-260,11964
249825,5.59,7956,-300,11772
249837,5.59,8148,-144,11816
249849,5.59,8204,-252,11852
249861,5.59,8144,-268,11944
249873,5.59,8040,-328,12052
249885,5.59,8088,-240,12004
249897,5.59,8128,-236,11868
249909,5.59,7980,-296,11872
249921,5.59,8080,-208,11964
249933,5.59,8152,-192,11820
249945,5.59,8036,-292,11780
249957,5.59,8060,-176,11788
249969,5.59,8088,-220,11904
249981,5.59,8100,-164,11816
249993,5.59,8060,-256,11772
250005,5.59,8000,-224,12028
250017,5.61,8120,-252,11948
250029,5.59,8044,-240,11920
250041,5.59,8016,-340,11988
250053,5.59,8056,-204,11820
250065,5.59,8212,-200,11948
250077,5.59,7964,-316,11964
250089,5.18,8128,-272,11796
250101,5.18,8168,-164,11828
250113,5.59,8080,-264,12120
250125,5.59,8080,-260,11884
250137,5.59,8212,-272,11904
250149,5.59,8180,-244,11912
250161,5.18,8032,-284,12056
250173,5.59,8136,-300,11940
250185,5.59,8084,-148,11904
250197,5.59,7996,-248,11820
250209,5.59,7976,-336,11988
250221,5.59,8148,-324,11832
250233,5.59,8144,-216,11852
250245,5.59,7956,-232,11852
250257,5.59,8032,-232,12028
250269,5.59,8152,-268,11812
250281,5.59,8052,-200,11972
250293,5.59,7964,-180,11980
250305,5.59,8156,-288,11808
250317,5.59,8076,-244,11936
250329,5.59,8020,-208,11888
250341,5.59,8032,-304,11804
250353,5.59,8168,-204,11988
250365,5.18,8100,-228,11692
250377,5.59,8020,-328,11800
250389,5.59,8132,-332,11944
250401,5.59,8104,-216,11856
250413,5.59,8024,-324,11820
250425,5.59,7948,-192,11852
250437,5.59,8020,-232,11884
250449,5.59,8152,-200,11776
250461,5.59,8068,-228,11944
250473,5.59,8108,-228,11844
250485,5.59,8132,-184,11960
250497,5.59,8076,-296,12036
250509,5.59,8100,-268,11736
250521,5.59,8176,-116,11720
250533,5.59,8080,-216,11892
250545,5.18,8088,-312,11824
250557,5.59,8116,-180,11884
250569,5.59,8208,-180,11784
250581,5.18,7996,-272,11840
250593,5.59,8052,-292,11928
250605,5.18,8096,-220,11956
250617,5.59,8032,-192,11992
250629,5.59,8000,-220,11780
250641,5.59,8052,-176,11992
250653,5.59,8152,-108,11920
250665,5.59,8036,-244,11928
250677,5.59,8104,-208,11920
250689,5.59,8228,-224,12052
250701,5.59,8064,-184,11984
250713,5.18,7888,-188,12024
250725,5.59,8088,-176,11956
250737,5.59,8084,-116,11980
250749,5.59,8120,-328,11736
250761,5.59,8124,-264,11924
250773,5.59,8140,-216,11956
250785,5.61,8128,-284,11892
250797,5.59,8032,-284,11860
250809,5.59,8180,-316,11984
250821,5.59,8096,-220,12040
250833,5.59,8000,-192,11924
250845,5.59,8016,-364,11988
250857,5.59,8228,-208,11692
250869,5.59,8012,-240,11968
250881,5.59,8008,-272,12004
250893,5.59,8112,-248,11904
250905,5.59,8032,-168,11976
250917,5.59,7960,-384,11928
250929,5.59,8000,-288,11816
250941,5.59,8196,-108,12008
250953,5.59,8060,-68,11964
250965,5.59,8008,-276,11848
250977,5.59,8120,-320,11908
250989,5.59,8144,-224,11796
251001,5.59,8032,-248,11912
251013,5.59,8036,-232,11896
251025,5.59,8196,-248,11996
251037,5.59,8048,-132,11936
251049,5.59,8108,-244,11876
251061,5.59,8128,-228,11844
251073,5.18,8200,-188,11840
251085,5.59,8008,-196,11968
251097,5.59,8052,-216,11804
251109,5.59,8148,-284,11796
251121,5.59,8028,-180,12020
251133,5.59,8072,-104,11848
251145,5.18,8156,-212,11860
251157,5.59,8188,-220,11812
251169,5.59,7996,-264,12052
251181,5.59,8100,-284,11852
251193,5.59,8216,-256,11896
251205,5.59,8068,-248,11884
251217,5.59,7952,-224,11868
251229,5.59,8156,-216,11844
251241,5.59,8172,-192,11900
251253,5.59,8104,-212,11908
251265,5.59,8080,-196,11856
251277,5.59,8060,-216,11868
251289,5.59,8156,-192,11868
251301,5.59,8040,-232,11760
251313,5.59,8200,-180,11924
251325,5.18,8220,-232,11772
251337,5.59,8036,-140,11884
251349,5.59,7996,-292,12012
251361,5.59,8024,-224,11896
251373,5.59,8088,-276,11960
251385,5.59,8036,-336,11916
251397,5.59,8160,-248,11868
251409,5.59,8160,-236,11964
251421,5.59,7980,-292,11928
251433,5.59,8072,-296,11756
251445,5.18,8208,-280,11772
251457,5.59,8032,-212,11788
251469,5.59,7940,-208,11760
251481,5.59,8060,-284,11848
251493,5.59,8220,-140,11988
251505,5.59,7996,-264,11832
251517,5.59,8120,-252,11936
251529,5.59,8180,-260,11804
251541,5.59,8052,-212,12064
251553,5.59,8100,-248,11992
251565,5.18,8124,-232,11872
251577,5.59,8244,-252,11844
251589,5.59,8000,-352,11868
251601,5.18,8044,-264,11840
251613,5.59,8096,-240,11892
251625,5.59,8152,-168,11964
251637,5.59,8080,-288,11768
251649,5.59,8052,-284,11808
251661,5.18,8148,-148,11968
251673,5.59,8084,-224,11924
251685,5.59,8020,-108,11872
251697,5.59,8176,-268,11976
251709,5.59,8012,-196,11776
251721,5.59,8100,-260,12012
251733,5.59,8088,-196,11884
251745,5.59,8092,-156,11896
251757,5.59,7980,-244,12120
251769,5.59,8004,-200,11956
251781,5.59,8180,-272,11916
251793,5.59,8216,-188,11796
251805,5.59,8036,-188,11928
251817,5.59,8100,-348,12028
251829,5.59,8140,-228,11844
251841,5.59,7944,-280,11808
251853,5.59,7944,-180,11960
251865,5.59,8196,-196,11812
251877,5.59,8100,-196,12080
251889,5.59,8032,-304,11848
